tcp_sport,tcp_dport,udp_sport,udp_dport,proto,size,count,class
0,0,58960,53,17,0,1,0
0,0,53,58960,17,0,1,0
37055,80,0,0,6,0,6,0
80,37055,0,0,6,0,4,0
3385,49152,0,0,6,0,11,0
49152,3385,0,0,6,2,10,0
3386,49152,0,0,6,0,10,0
49152,3386,0,0,6,2,10,0
3388,49152,0,0,6,0,6,0
49152,3388,0,0,6,1,5,0
3390,49152,0,0,6,0,10,0
49152,3390,0,0,6,2,10,0
0,0,51052,123,17,0,1,0
0,0,55764,53,17,0,1,0
0,0,53,55764,17,0,1,0
46563,80,0,0,6,0,6,0
80,46563,0,0,6,0,5,0
0,0,45947,123,17,0,1,0
0,0,58881,123,17,0,1,0
0,0,123,58881,17,0,1,0
4411,49152,0,0,6,0,10,0
4412,49152,0,0,6,0,6,0
49152,4411,0,0,6,2,10,0
49152,4412,0,0,6,1,5,0
0,0,50186,53,17,0,1,0
0,0,53,50186,17,0,1,0
56020,80,0,0,6,1,8,0
80,56020,0,0,6,0,5,0
0,0,46626,53,17,0,2,0
0,0,53,46626,17,0,2,0
40054,80,0,0,6,0,4,0
80,40054,0,0,6,0,2,0
0,0,40217,53,17,0,2,0
0,0,53,40217,17,0,2,0
40055,80,0,0,6,0,4,0
80,40055,0,0,6,0,2,0
0,0,60306,53,17,0,2,0
0,0,53,60306,17,0,2,0
40056,80,0,0,6,0,4,0
80,40056,0,0,6,0,2,0
57282,443,0,0,6,0,12,0
59129,443,0,0,6,0,2,0
443,57282,0,0,6,4,10,0
443,59129,0,0,6,0,1,0
0,0,55661,53,17,0,1,0
0,0,53,55661,17,0,1,0
0,0,50861,123,17,0,1,0
0,0,123,50861,17,0,1,0
0,0,4978,53,17,0,1,0
0,0,53,4978,17,0,1,0
0,0,4977,123,17,0,1,0
0,0,123,4977,17,0,1,0
4416,49152,0,0,6,0,10,0
49152,4416,0,0,6,2,10,0
4418,49152,0,0,6,0,10,0
49152,4418,0,0,6,2,10,0
4419,49152,0,0,6,0,5,0
49152,4419,0,0,6,1,5,0
4420,49152,0,0,6,0,15,0
49152,4420,0,0,6,3,15,0
0,0,52847,53,17,0,1,0
0,0,53,52847,17,0,1,0
0,0,51762,53,17,0,1,0
0,0,53,51762,17,0,1,0
0,0,58293,53,17,0,1,0
0,0,53,58293,17,0,1,0
0,0,55942,53,17,0,1,0
0,0,53,55942,17,0,1,0
0,0,60010,53,17,0,1,0
0,0,53,60010,17,0,1,0
59947,443,0,0,6,1,13,0
443,59947,0,0,6,4,12,0
4763,49152,0,0,6,0,18,0
4765,49152,0,0,6,0,13,0
49152,4765,0,0,6,2,10,0
49152,4763,0,0,6,3,15,0
0,0,56256,53,17,0,2,0
0,0,53,56256,17,0,2,0
44216,80,0,0,6,0,4,0
80,44216,0,0,6,0,2,0
0,0,50705,53,17,0,2,0
0,0,53,50705,17,0,2,0
44217,80,0,0,6,0,4,0
80,44217,0,0,6,0,2,0
0,0,53370,53,17,0,2,0
0,0,53,53370,17,0,2,0
44218,80,0,0,6,0,4,0
80,44218,0,0,6,0,2,0
26161,25050,0,0,6,0,9,0
25050,26161,0,0,6,0,9,0
0,0,58212,123,17,0,6,0
0,0,123,58212,17,0,6,0
4770,49152,0,0,6,0,11,0
49152,4770,0,0,6,2,10,0
4772,49152,0,0,6,0,10,0
49152,4772,0,0,6,2,10,0
0,0,33876,53,17,0,1,0
0,0,53,33876,17,0,1,0
40487,80,0,0,6,0,6,0
80,40487,0,0,6,0,5,0
0,0,44592,123,17,6,139,0
0,0,123,44592,17,6,139,0
0,0,55368,53,17,0,1,0
0,0,53,55368,17,0,1,0
50375,80,0,0,6,1,8,0
80,50375,0,0,6,0,5,0
51872,443,0,0,6,0,12,0
4108,49152,0,0,6,0,5,0
49152,4108,0,0,6,1,5,0
4111,49152,0,0,6,0,5,0
49152,4111,0,0,6,1,5,0
0,0,35408,53,17,0,2,0
0,0,53,35408,17,0,2,0
53327,80,0,0,6,0,4,0
80,53327,0,0,6,0,2,0
0,0,52697,53,17,0,2,0
0,0,53,52697,17,0,2,0
53328,80,0,0,6,0,4,0
80,53328,0,0,6,0,2,0
0,0,37492,53,17,0,2,0
0,0,53,37492,17,0,2,0
53329,80,0,0,6,0,4,0
80,53329,0,0,6,0,2,0
0,0,4980,53,17,0,1,0
0,0,53,4980,17,0,1,0
0,0,4979,123,17,0,1,0
0,0,123,4979,17,0,1,0
0,0,40542,53,17,0,1,0
0,0,53,40542,17,0,1,0
60205,443,0,0,6,2,17,0
443,60205,0,0,6,4,14,0
52242,5228,0,0,6,0,1,0
4114,49152,0,0,6,0,5,0
4115,49152,0,0,6,0,5,0
49152,4114,0,0,6,1,5,0
49152,4115,0,0,6,1,5,0
0,0,44849,53,17,0,1,0
0,0,53,44849,17,0,1,0
0,0,57337,53,17,0,1,0
0,0,53,57337,17,0,1,0
0,0,52159,53,17,0,2,0
0,0,53,52159,17,0,2,0
0,0,35059,53,17,0,1,0
0,0,53,35059,17,0,1,0
0,0,38287,53,17,0,1,0
0,0,53,38287,17,0,1,0
59948,443,0,0,6,1,13,0
443,59948,0,0,6,4,13,0
0,0,39681,53,17,0,2,0
0,0,53,39681,17,0,2,0
50074,80,0,0,6,0,4,0
80,50074,0,0,6,0,2,0
0,0,44417,53,17,0,2,0
0,0,53,44417,17,0,2,0
50075,80,0,0,6,0,4,0
80,50075,0,0,6,0,2,0
0,0,41601,53,17,0,2,0
0,0,53,41601,17,0,2,0
50076,80,0,0,6,0,4,0
80,50076,0,0,6,0,2,0
3515,49152,0,0,6,0,5,0
3516,49152,0,0,6,0,10,0
49152,3515,0,0,6,1,5,0
49152,3516,0,0,6,2,10,0
3518,49152,0,0,6,0,11,0
3519,49152,0,0,6,0,10,0
49152,3518,0,0,6,2,10,0
49152,3519,0,0,6,2,10,0
57561,443,0,0,6,0,2,0
0,0,53242,53,17,0,1,0
0,0,53,53242,17,0,1,0
58006,80,0,0,6,0,6,0
80,58006,0,0,6,0,3,0
4443,49152,0,0,6,0,5,0
49152,4443,0,0,6,1,5,0
4444,49152,0,0,6,0,16,0
49152,4444,0,0,6,3,15,0
0,0,38904,53,17,0,1,0
0,0,53,38904,17,0,1,0
42430,80,0,0,6,1,8,0
80,42430,0,0,6,0,5,0
0,0,49492,123,17,0,1,0
0,0,123,49492,17,0,1,0
45701,80,0,0,6,0,7,0
80,45701,0,0,6,0,6,0
0,0,47193,53,17,0,2,0
0,0,53,47193,17,0,2,0
48125,80,0,0,6,0,4,0
80,48125,0,0,6,0,2,0
0,0,40770,53,17,0,2,0
0,0,53,40770,17,0,2,0
48126,80,0,0,6,0,4,0
80,48126,0,0,6,0,2,0
0,0,57931,53,17,0,2,0
0,0,53,57931,17,0,2,0
48127,80,0,0,6,0,4,0
80,48127,0,0,6,0,2,0
0,0,4982,53,17,0,1,0
0,0,53,4982,17,0,1,0
0,0,4981,123,17,0,1,0
0,0,123,4981,17,0,1,0
4448,49152,0,0,6,1,22,0
49152,4448,0,0,6,4,20,0
4451,49152,0,0,6,0,10,0
49152,4451,0,0,6,2,10,0
4453,49152,0,0,6,0,16,0
4454,49152,0,0,6,0,5,0
49152,4453,0,0,6,3,15,0
49152,4454,0,0,6,1,5,0
26162,25050,0,0,6,0,10,0
25050,26162,0,0,6,0,9,0
4782,49152,0,0,6,0,5,0
49152,4782,0,0,6,1,5,0
4783,49152,0,0,6,0,10,0
49152,4783,0,0,6,2,10,0
0,0,53372,53,17,0,1,0
0,0,53,53372,17,0,1,0
58315,443,0,0,6,0,8,0
33228,443,0,0,6,1,12,0
443,33228,0,0,6,5,12,0
36455,5228,0,0,6,2,56,0
5228,36455,0,0,6,7,41,0
45967,443,0,0,6,0,5,0
40779,993,0,0,6,0,7,0
46617,7275,0,0,6,0,9,0
36140,5222,0,0,6,0,8,0
7275,46617,0,0,6,2,7,0
45765,443,0,0,6,7,11,0
57308,443,0,0,6,11,104,1
443,57308,0,0,6,131,119,1
60190,443,0,0,6,1,14,0
58537,443,0,0,6,1,15,0
443,58537,0,0,6,4,14,0
443,60190,0,0,6,7,11,0
51405,443,0,0,6,5,29,0
443,51405,0,0,6,6,16,0
54511,443,0,0,6,1,19,0
443,54511,0,0,6,22,23,1
45294,443,0,0,6,2,28,0
443,45294,0,0,6,2,16,0
47351,443,0,0,6,0,9,0
45060,443,0,0,6,0,8,0
34209,443,0,0,6,3,27,0
443,34209,0,0,6,4,13,0
58543,443,0,0,6,1,16,0
443,58543,0,0,6,17,22,1
55699,80,0,0,6,0,7,0
80,55699,0,0,6,0,5,0
46871,80,0,0,6,0,7,0
80,46871,0,0,6,0,5,0
33258,443,0,0,6,0,12,0
443,33258,0,0,6,4,10,0
52786,443,0,0,6,0,14,0
443,52786,0,0,6,8,12,0
35590,443,0,0,6,1,21,0
443,35590,0,0,6,4,11,0
48231,80,0,0,6,0,6,0
80,48231,0,0,6,0,4,0
47847,80,0,0,6,0,6,0
80,47847,0,0,6,0,4,0
39860,80,0,0,6,0,6,0
80,39860,0,0,6,0,4,0
55555,443,0,0,6,9,24,0
443,55555,0,0,6,4,11,0
33692,443,0,0,6,1,17,0
443,33692,0,0,6,4,13,0
55905,443,0,0,6,0,38,0
443,55905,0,0,6,44,39,1
33048,80,0,0,6,0,8,0
80,33048,0,0,6,1,5,0
49537,80,0,0,6,0,6,0
80,49537,0,0,6,0,4,0
46081,443,0,0,6,0,11,0
443,46081,0,0,6,3,7,0
39724,443,0,0,6,1,28,0
443,39724,0,0,6,35,39,1
46527,443,0,0,6,0,12,0
443,46527,0,0,6,3,8,0
50612,443,0,0,6,0,13,0
443,50612,0,0,6,4,9,0
47350,443,0,0,6,0,25,0
443,47350,0,0,6,30,34,1
60005,5222,0,0,6,1,18,0
40858,80,0,0,6,2,9,0
37857,80,0,0,6,2,13,0
80,37857,0,0,6,1,5,0
40540,80,0,0,6,0,8,0
45678,5222,0,0,6,0,8,0
43091,443,0,0,6,0,12,0
443,43091,0,0,6,4,8,0
5222,60005,0,0,6,0,14,0
42256,443,0,0,6,1,37,0
443,42256,0,0,6,35,44,1
41992,80,0,0,6,0,8,0
80,41992,0,0,6,0,4,0
49593,80,0,0,6,0,8,0
80,49593,0,0,6,0,4,0
58554,80,0,0,6,0,8,0
80,58554,0,0,6,0,4,0
54808,443,0,0,6,3,13,0
443,54808,0,0,6,5,22,0
47806,5228,0,0,6,0,3,0
43372,443,0,0,6,0,3,0
40066,5228,0,0,6,0,2,0
36997,443,0,0,6,0,1,0
51683,443,0,0,6,1,13,0
443,51683,0,0,6,4,16,0
44188,443,0,0,6,0,1,0
0,0,53419,53,17,0,2,0
0,0,53,53419,17,0,2,0
60613,80,0,0,6,0,4,0
80,60613,0,0,6,0,2,0
0,0,44039,53,17,0,2,0
0,0,53,44039,17,0,2,0
60614,80,0,0,6,0,4,0
80,60614,0,0,6,0,2,0
0,0,35412,53,17,0,2,0
0,0,53,35412,17,0,2,0
60615,80,0,0,6,0,4,0
80,60615,0,0,6,0,2,0
0,0,36284,53,17,0,1,0
0,0,53,36284,17,0,1,0
0,0,44184,53,17,0,1,0
0,0,53,44184,17,0,1,0
0,0,39616,53,17,0,1,0
0,0,53,39616,17,0,1,0
0,0,60808,53,17,0,1,0
0,0,53,60808,17,0,1,0
0,0,56327,53,17,0,1,0
0,0,53,56327,17,0,1,0
59949,443,0,0,6,1,14,0
443,59949,0,0,6,4,12,0
4787,49152,0,0,6,0,5,0
49152,4787,0,0,6,1,5,0
4789,49152,0,0,6,1,25,0
49152,4789,0,0,6,6,25,0
0,0,48937,53,17,0,1,0
0,0,53,48937,17,0,1,0
53709,443,0,0,6,2,14,0
443,53709,0,0,6,3,12,0
33410,443,0,0,6,1,18,0
38805,443,0,0,6,1,11,0
443,33410,0,0,6,5,10,0
42982,443,0,0,6,0,10,0
443,42982,0,0,6,4,11,0
443,38805,0,0,6,5,9,0
37182,443,0,0,6,0,3,0
51440,443,0,0,6,1,10,0
51961,443,0,0,6,0,3,0
443,51440,0,0,6,5,8,0
57499,443,0,0,6,2,18,0
443,57499,0,0,6,4,9,0
0,0,60483,53,17,0,1,0
0,0,53,60483,17,0,1,0
44843,80,0,0,6,0,6,0
80,44843,0,0,6,0,5,0
4160,49152,0,0,6,0,15,0
49152,4160,0,0,6,3,15,0
4161,49152,0,0,6,0,5,0
49152,4161,0,0,6,1,5,0
34005,443,0,0,6,1,19,0
443,34005,0,0,6,1,11,0
0,0,37054,53,17,0,1,0
0,0,53,37054,17,0,1,0
51041,80,0,0,6,1,8,0
80,51041,0,0,6,0,5,0
39780,443,0,0,6,0,3,0
35012,5222,0,0,6,0,5,0
5222,35012,0,0,6,0,4,0
42615,5222,0,0,6,0,4,0
5222,42615,0,0,6,0,4,0
60583,5222,0,0,6,0,5,0
5222,60583,0,0,6,0,4,0
39241,5222,0,0,6,0,5,0
5222,39241,0,0,6,0,4,0
41017,5222,0,0,6,0,5,0
5222,41017,0,0,6,0,4,0
46329,5222,0,0,6,0,4,0
5222,46329,0,0,6,0,4,0
47919,5222,0,0,6,0,5,0
59917,443,0,0,6,0,1,0
5222,47919,0,0,6,0,4,0
44593,5222,0,0,6,0,8,0
5222,44593,0,0,6,0,3,0
43757,80,0,0,6,0,5,0
80,43757,0,0,6,0,4,0
38422,80,0,0,6,0,5,0
80,38422,0,0,6,0,4,0
59789,80,0,0,6,0,4,0
80,59789,0,0,6,0,4,0
53328,80,0,0,6,0,5,0
80,53328,0,0,6,0,4,0
44526,80,0,0,6,0,5,0
80,44526,0,0,6,0,4,0
36422,80,0,0,6,0,5,0
80,36422,0,0,6,0,4,0
37726,80,0,0,6,0,4,0
80,37726,0,0,6,0,4,0
51402,80,0,0,6,0,8,0
80,51402,0,0,6,0,3,0
59983,80,0,0,6,2,14,0
80,59983,0,0,6,1,5,0
0,0,41639,53,17,0,2,0
0,0,53,41639,17,0,2,0
52975,80,0,0,6,0,4,0
80,52975,0,0,6,0,2,0
0,0,39164,53,17,0,2,0
0,0,53,39164,17,0,2,0
52976,80,0,0,6,0,4,0
80,52976,0,0,6,0,2,0
0,0,36795,53,17,0,2,0
0,0,53,36795,17,0,2,0
52977,80,0,0,6,0,4,0
80,52977,0,0,6,0,2,0
0,0,4984,53,17,0,1,0
0,0,53,4984,17,0,1,0
0,0,4983,123,17,0,1,0
0,0,123,4983,17,0,1,0
4166,49152,0,0,6,0,17,0
4167,49152,0,0,6,0,17,0
49152,4167,0,0,6,3,15,0
49152,4166,0,0,6,3,15,0
26163,25050,0,0,6,0,9,0
25050,26163,0,0,6,0,9,0
0,0,37213,53,17,0,1,0
0,0,49980,53,17,0,2,0
0,0,53,49980,17,0,2,0
46547,80,0,0,6,0,4,0
80,46547,0,0,6,0,2,0
0,0,53,37213,17,0,1,0
51573,443,0,0,6,11,330,1
0,0,33914,53,17,0,2,0
0,0,53,33914,17,0,2,0
46549,80,0,0,6,0,4,0
80,46549,0,0,6,0,2,0
0,0,41561,53,17,0,2,0
0,0,53,41561,17,0,2,0
46550,80,0,0,6,0,4,0
443,51573,0,0,6,11,348,1
80,46550,0,0,6,0,2,0
58784,443,0,0,6,4,32,0
443,58784,0,0,6,5,15,0
3141,49152,0,0,6,0,5,0
3142,49152,0,0,6,0,15,0
49152,3141,0,0,6,1,5,0
49152,3142,0,0,6,3,15,0
3143,49152,0,0,6,0,5,0
49152,3143,0,0,6,1,5,0
3145,49152,0,0,6,0,10,0
49152,3145,0,0,6,2,10,0
0,0,43787,53,17,0,1,0
0,0,53,43787,17,0,1,0
45436,80,0,0,6,0,6,0
80,45436,0,0,6,0,3,0
0,0,46885,53,17,0,1,0
0,0,53,46885,17,0,1,0
45437,80,0,0,6,0,7,0
80,45437,0,0,6,1,5,0
0,0,52643,53,17,0,1,0
0,0,53,52643,17,0,1,0
45438,80,0,0,6,0,6,0
80,45438,0,0,6,0,4,0
0,0,46003,53,17,0,2,0
0,0,53,46003,17,0,2,0
43045,80,0,0,6,0,4,0
80,43045,0,0,6,0,2,0
0,0,39377,53,17,0,2,0
