src_ip,dst_ip,sport,dport,proto,size
0.0.0.0,255.255.255.255,68,67,17,816490
192.168.1.192,192.168.1.1,35500,53,17,65
192.168.1.1,192.168.1.192,53,35500,17,369
192.168.1.192,50.17.200.36,41871,80,6,976
50.17.200.36,192.168.1.192,80,41871,6,4736
192.168.1.1,192.168.1.112,443,47940,1,48
192.168.1.1,192.168.1.112,67,68,17,677648
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,192.168.1.1,10001,59960,1,104
192.168.1.1,192.168.1.223,10001,59960,1,104
192.168.1.193,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.193,47940,443,1,104
192.168.1.193,192.168.1.1,43446,33434,1,104
192.168.1.1,192.168.1.193,43446,33434,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.192,192.168.1.1,57320,53,17,118
192.168.1.1,192.168.1.192,53,57320,17,330
192.168.1.192,24.56.178.140,40840,123,17,456
0.0.0.0,224.0.0.1,443,47940,2,32
192.168.1.192,239.255.255.250,40179,5222,2,32
192.168.1.192,192.168.1.1,68,67,17,41328
192.168.1.1,192.168.1.192,67,68,17,94464
192.168.1.240,207.171.178.6,52495,123,17,304
207.171.178.6,192.168.1.240,123,52495,17,304
192.168.1.193,192.168.1.249,4683,49152,6,908
192.168.1.249,192.168.1.193,49152,4683,6,2876
192.168.1.193,192.168.1.249,4685,49152,6,454
192.168.1.249,192.168.1.193,49152,4685,6,1438
192.168.1.193,174.129.217.97,3258,3478,6,43480
174.129.217.97,192.168.1.193,3478,3258,6,23680
192.168.1.193,239.255.255.250,443,47940,2,32
192.168.1.249,239.255.255.250,47940,443,2,32
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,239.255.255.250,443,47940,2,32
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.236,224.0.1.60,443,47940,2,32
192.168.1.249,224.0.0.251,47940,443,2,32
192.168.1.236,239.255.255.250,443,47940,2,32
192.168.1.118,192.168.1.255,56700,56700,17,74340
192.168.1.239,64.233.188.108,51432,993,6,7569
64.233.188.108,192.168.1.239,993,51432,6,32815
192.168.1.112,192.168.1.1,25587,53,17,20480
192.168.1.1,192.168.1.112,53,25587,17,94242
192.168.1.240,192.168.1.1,28987,56700,1,84
192.168.1.1,192.168.1.240,28987,56700,1,84
192.168.1.112,62.210.93.120,27622,25050,6,835
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,192.168.1.1,27622,25050,1,84
192.168.1.1,192.168.1.240,27622,25050,1,84
192.168.1.240,8.8.8.8,27622,25050,1,84
8.8.8.8,192.168.1.240,27622,25050,1,84
192.168.1.240,8.8.8.8,27622,25050,1,84
8.8.8.8,192.168.1.240,27622,25050,1,84
192.168.1.240,8.8.8.8,27622,25050,1,84
8.8.8.8,192.168.1.240,27622,25050,1,84
192.168.1.240,8.8.8.8,27622,25050,1,84
8.8.8.8,192.168.1.240,27622,25050,1,84
192.168.1.240,8.8.8.8,27622,25050,1,84
8.8.8.8,192.168.1.240,27622,25050,1,84
192.168.1.240,208.67.220.220,27622,25050,1,84
208.67.220.220,192.168.1.240,27622,25050,1,84
192.168.1.240,208.67.220.220,27622,25050,1,84
208.67.220.220,192.168.1.240,27622,25050,1,84
192.168.1.240,208.67.220.220,27622,25050,1,84
208.67.220.220,192.168.1.240,27622,25050,1,84
192.168.1.240,208.67.220.220,27622,25050,1,84
208.67.220.220,192.168.1.240,27622,25050,1,84
192.168.1.240,208.67.220.220,27622,25050,1,84
208.67.220.220,192.168.1.240,27622,25050,1,84
192.168.1.193,192.168.1.1,27622,25050,1,104
192.168.1.1,192.168.1.193,27622,25050,1,104
192.168.1.240,8.8.8.8,51657,53,17,122
8.8.8.8,192.168.1.240,53,51657,17,166
192.168.1.240,93.184.216.34,45933,80,6,216
93.184.216.34,192.168.1.240,80,45933,6,112
192.168.1.240,8.8.8.8,59592,53,17,122
8.8.8.8,192.168.1.240,53,59592,17,166
192.168.1.240,93.184.216.34,45934,80,6,216
62.210.93.120,192.168.1.112,25050,27622,6,492
93.184.216.34,192.168.1.240,80,45934,6,112
192.168.1.240,8.8.8.8,35977,53,17,122
8.8.8.8,192.168.1.240,53,35977,17,166
192.168.1.240,93.184.216.34,45935,80,6,216
93.184.216.34,192.168.1.240,80,45935,6,112
192.168.1.193,192.168.1.1,443,2179,1,104
192.168.1.1,192.168.1.193,443,2179,1,104
192.168.1.193,192.168.1.1,27622,25050,1,104
192.168.1.1,192.168.1.193,27622,25050,1,104
192.168.1.192,192.168.1.1,49412,53,17,59
192.168.1.1,192.168.1.192,53,49412,17,224
192.168.1.192,216.229.0.179,44353,123,17,228
216.229.0.179,192.168.1.192,123,44353,17,228
50.7.114.59,192.168.1.192,10001,59960,17,6424
192.168.1.240,96.244.96.19,33305,123,17,380
96.244.96.19,192.168.1.240,123,33305,17,380
192.168.1.112,192.168.1.1,68,67,17,40656
192.168.1.223,192.168.1.1,43446,33434,1,104
192.168.1.1,192.168.1.223,43446,33434,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.118,8.8.8.8,30422,53,17,58
192.168.1.118,192.168.1.1,30422,53,17,58
8.8.8.8,192.168.1.118,53,30422,17,122
192.168.1.1,192.168.1.118,53,30422,17,512
192.168.1.118,107.170.224.8,48999,123,17,304
107.170.224.8,192.168.1.118,123,48999,17,304
192.168.1.240,132.163.4.101,46897,123,17,988
132.163.4.101,192.168.1.240,123,46897,17,988
192.168.1.192,192.168.1.1,57234,53,17,59
192.168.1.1,192.168.1.192,53,57234,17,224
192.168.1.192,128.138.141.172,52683,123,17,228
128.138.141.172,192.168.1.192,123,52683,17,228
192.168.1.193,192.168.1.1,443,2179,1,104
192.168.1.1,192.168.1.193,443,2179,1,104
192.168.1.193,192.168.1.1,123,52683,1,104
192.168.1.1,192.168.1.193,123,52683,1,104
192.168.1.193,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.193,47940,443,1,104
192.168.1.240,192.168.1.1,57861,53,17,74
192.168.1.1,192.168.1.240,53,57861,17,312
192.168.1.240,54.239.26.180,43002,443,6,3656
54.239.26.180,192.168.1.240,443,43002,6,3684
192.168.1.241,195.154.199.173,47940,443,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
192.168.1.241,195.154.199.173,47940,443,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
192.168.1.241,195.154.199.173,47940,443,1,84
195.154.199.173,192.168.1.241,47940,443,1,84
0.0.0.0,224.0.0.1,47940,443,2,32
192.168.1.196,192.168.1.1,4419,53,17,58
192.168.1.1,192.168.1.196,53,4419,17,122
192.168.1.196,130.102.2.123,4418,123,17,76
130.102.2.123,192.168.1.196,123,4418,17,76
192.168.1.192,239.255.255.250,443,47940,2,32
192.168.1.223,239.255.255.250,443,47940,2,32
192.168.1.193,239.255.255.250,443,47940,2,32
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.249,239.255.255.250,47940,443,2,32
192.168.1.236,224.0.1.60,28987,56700,2,32
192.168.1.223,192.168.1.1,123,46897,1,104
192.168.1.1,192.168.1.223,123,46897,1,104
192.168.1.249,224.0.0.251,47940,443,2,32
192.168.1.236,239.255.255.250,443,47940,2,32
192.168.1.192,192.168.1.1,44850,53,17,59
192.168.1.1,192.168.1.192,53,44850,17,224
192.168.1.192,216.229.0.179,48185,123,17,228
216.229.0.179,192.168.1.192,123,48185,17,228
192.168.1.193,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.193,47940,443,1,104
192.168.1.239,203.5.76.213,38297,443,6,727
192.168.1.239,203.5.76.216,57349,443,6,2950
203.5.76.216,192.168.1.239,443,57349,6,1293
192.168.1.193,192.168.1.1,43446,33434,1,104
192.168.1.1,192.168.1.193,43446,33434,1,104
192.168.1.193,192.168.1.1,38297,443,1,104
192.168.1.1,192.168.1.193,38297,443,1,104
192.168.1.120,192.168.1.1,43761,53,17,12261
192.168.1.1,192.168.1.120,53,43761,17,26027
192.168.1.193,192.168.1.249,4689,49152,6,454
192.168.1.249,192.168.1.193,49152,4689,6,1438
192.168.1.193,192.168.1.249,4690,49152,6,454
192.168.1.249,192.168.1.193,49152,4690,6,1438
192.168.1.223,192.168.1.1,56700,28987,1,104
192.168.1.1,192.168.1.223,56700,28987,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.192,192.168.1.1,54180,53,17,59
192.168.1.1,192.168.1.192,53,54180,17,224
192.168.1.192,216.229.0.179,48009,123,17,228
216.229.0.179,192.168.1.192,123,48009,17,228
192.168.1.193,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.193,47940,443,1,104
192.168.1.193,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.193,47940,443,1,104
192.168.1.193,192.168.1.1,47940,443,1,104
192.168.1.1,192.168.1.193,47940,443,1,104
0.0.0.0,224.0.0.1,47940,443,2,32
192.168.1.192,239.255.255.250,443,47940,2,32
192.168.1.192,192.168.1.1,60204,53,17,65
192.168.1.1,192.168.1.192,53,60204,17,369
192.168.1.192,50.17.200.36,41932,80,6,676
50.17.200.36,192.168.1.192,80,41932,6,4300
192.168.1.236,239.255.255.250,443,47940,2,32
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.236,224.0.1.60,443,47940,2,32
192.168.1.249,224.0.0.251,47940,443,2,32
192.168.1.223,239.255.255.250,40179,5222,2,32
192.168.1.192,192.168.1.1,39401,53,17,59
192.168.1.1,192.168.1.192,53,39401,17,224
192.168.1.249,239.255.255.250,443,47940,2,32
192.168.1.193,239.255.255.250,443,47940,2,32
192.168.1.192,129.6.15.30,35801,123,17,228
129.6.15.30,192.168.1.192,123,35801,17,76
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.193,192.168.1.1,5222,27477,1,104
192.168.1.1,192.168.1.193,5222,27477,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.241,195.154.199.173,443,47940,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
192.168.1.241,195.154.199.173,443,47940,1,84
195.154.199.173,192.168.1.241,47940,443,1,84
192.168.1.241,195.154.199.173,443,47940,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,192.168.1.1,443,47940,1,84
192.168.1.1,192.168.1.240,443,47940,1,84
192.168.1.240,8.8.8.8,443,47940,1,84
8.8.8.8,192.168.1.240,443,47940,1,84
192.168.1.240,8.8.8.8,443,47940,1,84
8.8.8.8,192.168.1.240,443,47940,1,84
192.168.1.240,8.8.8.8,443,47940,1,84
8.8.8.8,192.168.1.240,443,47940,1,84
192.168.1.240,8.8.8.8,443,47940,1,84
8.8.8.8,192.168.1.240,443,47940,1,84
192.168.1.240,8.8.8.8,443,47940,1,84
8.8.8.8,192.168.1.240,443,47940,1,84
192.168.1.240,208.67.220.220,443,47940,1,84
208.67.220.220,192.168.1.240,443,47940,1,84
192.168.1.240,208.67.220.220,443,47940,1,84
208.67.220.220,192.168.1.240,443,47940,1,84
192.168.1.240,208.67.220.220,443,47940,1,84
208.67.220.220,192.168.1.240,443,47940,1,84
192.168.1.240,208.67.220.220,443,47940,1,84
208.67.220.220,192.168.1.240,443,47940,1,84
192.168.1.240,208.67.220.220,443,47940,1,84
208.67.220.220,192.168.1.240,443,47940,1,84
192.168.1.240,8.8.8.8,47997,53,17,122
8.8.8.8,192.168.1.240,53,47997,17,166
192.168.1.240,93.184.216.34,51816,80,6,216
93.184.216.34,192.168.1.240,80,51816,6,112
192.168.1.240,8.8.8.8,49053,53,17,122
8.8.8.8,192.168.1.240,53,49053,17,166
192.168.1.240,93.184.216.34,51817,80,6,216
93.184.216.34,192.168.1.240,80,51817,6,112
192.168.1.240,8.8.8.8,46241,53,17,122
8.8.8.8,192.168.1.240,53,46241,17,166
192.168.1.240,93.184.216.34,51818,80,6,216
93.184.216.34,192.168.1.240,80,51818,6,112
192.168.1.223,192.168.1.1,51818,80,1,104
192.168.1.1,192.168.1.223,51818,80,1,104
192.168.1.223,192.168.1.1,40179,5222,1,104
192.168.1.1,192.168.1.223,40179,5222,1,104
192.168.1.192,192.168.1.1,41706,53,17,59
192.168.1.1,192.168.1.192,53,41706,17,224
192.168.1.223,192.168.1.1,42284,5222,1,104
192.168.1.1,192.168.1.223,42284,5222,1,104
192.168.1.192,24.56.178.140,33094,123,17,228
192.168.1.193,192.168.1.249,3143,49152,6,908
192.168.1.249,192.168.1.193,49152,3143,6,2876
192.168.1.193,192.168.1.249,3144,49152,6,1362
192.168.1.193,192.168.1.223,3421,49153,6,2220
192.168.1.249,192.168.1.193,49152,3144,6,4314
192.168.1.223,192.168.1.193,49153,3421,6,15956
192.168.1.193,192.168.1.223,3423,49153,6,1628
192.168.1.223,192.168.1.193,49153,3423,6,8439
192.168.1.193,192.168.1.223,3424,49153,6,2220
192.168.1.223,192.168.1.193,49153,3424,6,15956
192.168.1.193,192.168.1.223,3426,49153,6,1665
192.168.1.223,192.168.1.193,49153,3426,6,11967
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
0.0.0.0,224.0.0.1,47940,443,2,32
192.168.1.192,239.255.255.250,443,47940,2,32
192.168.1.118,8.8.8.8,30423,53,17,58
192.168.1.118,192.168.1.1,30423,53,17,58
192.168.1.1,192.168.1.118,53,30423,17,516
192.168.1.118,27.124.125.250,48999,123,17,532
27.124.125.250,192.168.1.118,123,48999,17,532
8.8.8.8,192.168.1.118,53,30423,17,122
192.168.1.236,239.255.255.250,47940,443,2,32
192.168.1.223,239.255.255.250,4500,45485,2,32
192.168.1.192,192.168.1.1,40486,53,17,59
192.168.1.1,192.168.1.192,53,40486,17,106
192.168.1.193,239.255.255.250,47940,443,2,32
192.168.1.192,24.56.178.140,44687,123,17,228
192.168.1.249,224.0.0.251,44687,123,2,32
192.168.1.223,192.168.1.1,44687,123,1,104
192.168.1.1,192.168.1.223,44687,123,1,104
192.168.1.223,192.168.1.1,44687,123,1,104
192.168.1.1,192.168.1.223,44687,123,1,104
192.168.1.236,224.0.1.60,44687,123,2,32
192.168.1.223,192.168.1.1,44687,123,1,104
192.168.1.1,192.168.1.223,44687,123,1,104
192.168.1.249,239.255.255.250,443,57349,2,32
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.193,192.168.1.1,45485,4500,1,104
192.168.1.1,192.168.1.193,45485,4500,1,104
192.168.1.192,192.168.1.1,49904,53,17,59
192.168.1.1,192.168.1.192,53,49904,17,106
192.168.1.192,24.56.178.140,41454,123,17,228
192.168.1.223,192.168.1.1,43446,33434,1,104
192.168.1.1,192.168.1.223,43446,33434,1,104
192.168.1.223,192.168.1.1,443,38228,1,104
192.168.1.1,192.168.1.223,443,38228,1,104
192.168.1.223,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.223,443,47940,1,104
192.168.1.241,195.154.199.173,47940,443,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
192.168.1.241,195.154.199.173,47940,443,1,84
195.154.199.173,192.168.1.241,443,47940,1,84
192.168.1.241,195.154.199.173,45485,4500,1,84
195.154.199.173,192.168.1.241,4500,45485,1,84
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
192.168.1.193,192.168.1.1,443,47940,1,104
192.168.1.1,192.168.1.193,443,47940,1,104
0.0.0.0,224.0.0.1,4500,45485,2,32
192.168.1.193,192.168.1.223,3428,49153,6,2129
192.168.1.223,192.168.1.193,49153,3428,6,12428
192.168.1.193,192.168.1.223,3429,49153,6,2183
192.168.1.223,192.168.1.193,49153,3429,6,12428
192.168.1.193,192.168.1.223,3431,49153,6,2640
192.168.1.193,192.168.1.223,3432,49153,6,2220
192.168.1.223,192.168.1.193,49153,3431,6,16462
192.168.1.223,192.168.1.193,49153,3432,6,15956
192.168.1.193,192.168.1.249,3158,49152,6,1816
192.168.1.249,192.168.1.193,49152,3158,6,5752
192.168.1.193,192.168.1.223,3435,49153,6,1582
192.168.1.223,192.168.1.193,49153,3435,6,8484
192.168.1.193,192.168.1.249,3160,49152,6,1362
192.168.1.249,192.168.1.193,49152,3160,6,4314
192.168.1.193,192.168.1.223,3437,49153,6,555
192.168.1.223,192.168.1.193,49153,3437,6,3989
192.168.1.223,192.168.1.193,4769,49153,6,1455
192.168.1.223,192.168.1.193,4770,49153,6,699
192.168.1.193,192.168.1.223,49153,4769,6,974
192.168.1.193,192.168.1.223,49153,4770,6,461
192.168.1.193,192.168.1.223,3439,49153,6,1584
192.168.1.223,192.168.1.193,49153,3439,6,8484
192.168.1.223,192.168.1.193,4771,49153,6,691
192.168.1.193,192.168.1.223,3441,49153,6,2220
192.168.1.223,192.168.1.193,4772,49153,6,784
192.168.1.193,192.168.1.223,49153,4771,6,513
192.168.1.223,192.168.1.193,49153,3441,6,15956
192.168.1.193,192.168.1.223,49153,4772,6,513
192.168.1.223,192.168.1.193,4773,49153,6,764
192.168.1.193,192.168.1.223,49153,4773,6,513
192.168.1.192,239.255.255.250,443,47940,2,32
192.168.1.192,192.168.1.1,52304,53,17,59
192.168.1.1,192.168.1.192,53,52304,17,106
192.168.1.192,24.56.178.140,36056,123,17,228
192.168.1.223,239.255.255.250,443,47940,2,32
192.168.1.236,224.0.1.60,443,47940,2,32
192.168.1.193,239.255.255.250,443,47940,2,32
192.168.1.249,239.255.255.250,443,47940,2,32
