ether_type,src_ip,dst_ip,tcp_sport,tcp_dport,udp_sport,udp_dport,proto,size,count,class
2048,192.168.1.1,192.168.1.120,0,0,53,37616,17,17085,170,1
2048,192.168.1.1,192.168.1.120,0,0,53,37616,17,17085,170,1
2048,192.168.1.1,192.168.1.120,0,0,53,37616,17,17085,170,1
2048,192.168.1.1,192.168.1.120,0,0,53,37616,17,17085,170,1
2048,192.168.1.120,188.165.38.151,57275,8090,0,0,6,3652,301,0
2048,188.165.38.151,192.168.1.120,8090,57275,0,0,6,3652,301,0
2048,192.168.1.227,52.220.62.189,36965,50443,0,0,6,4247,56,0
2048,52.220.62.189,192.168.1.227,50443,36965,0,0,6,2182,28,0
2048,192.168.1.240,204.11.201.12,0,0,33217,123,17,2140,44,0
2048,204.11.201.12,192.168.1.240,0,0,123,33217,17,2140,44,0
2048,192.168.1.193,174.129.217.97,4370,3478,0,0,6,42948,501,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,174.129.217.97,192.168.1.193,3478,4370,0,0,6,23396,273,1
2048,192.168.1.193,192.168.1.249,4630,49152,0,0,6,294,5,0
2048,192.168.1.193,192.168.1.249,4631,49152,0,0,6,548,10,0
2048,192.168.1.249,192.168.1.193,49152,4630,0,0,6,1278,5,0
2048,192.168.1.249,192.168.1.193,49152,4631,0,0,6,2516,10,0
2048,192.168.1.193,192.168.1.249,4632,49152,0,0,6,548,10,0
2048,192.168.1.249,192.168.1.193,49152,4632,0,0,6,2516,10,0
2048,192.168.1.193,192.168.1.249,4634,49152,0,0,6,548,10,0
2048,192.168.1.249,192.168.1.193,49152,4634,0,0,6,2516,10,0
2048,192.168.1.240,239.255.255.250,0,0,50000,1900,17,9108,80,0
2048,192.168.1.240,74.125.34.101,45417,443,0,0,6,396,9,0
2048,192.168.1.240,192.168.1.1,0,0,44239,53,17,61,1,0
2048,192.168.1.1,192.168.1.240,0,0,53,44239,17,274,1,0
2048,192.168.1.240,74.125.34.101,39830,443,0,0,6,1271,20,0
2048,74.125.34.101,192.168.1.240,443,39830,0,0,6,5708,11,0
2048,74.125.34.101,192.168.1.240,443,39830,0,0,6,5708,11,0
2048,74.125.34.101,192.168.1.240,443,39830,0,0,6,5708,11,0
2048,74.125.34.101,192.168.1.240,443,39830,0,0,6,5708,11,0
2048,74.125.34.101,192.168.1.240,443,39830,0,0,6,5708,11,0
2048,74.125.34.101,192.168.1.240,443,39830,0,0,6,5708,11,0
2048,74.125.34.101,192.168.1.240,443,39830,0,0,6,5708,11,0
2048,0.0.0.0,255.255.255.255,0,0,68,67,17,695762,2259,1
2048,0.0.0.0,255.255.255.255,0,0,68,67,17,695762,2259,1
2048,192.168.1.1,192.168.1.112,0,0,67,68,17,674428,2248,1
2048,64.233.188.188,192.168.1.239,5228,52893,0,0,6,247,7,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.239,64.233.188.188,52893,5228,0,0,6,878,25,0
2048,192.168.1.240,8.8.8.8,0,0,59660,53,17,94,2,0
2048,8.8.8.8,192.168.1.240,0,0,53,59660,17,138,2,0
2048,192.168.1.240,93.184.216.34,45598,80,0,0,6,96,4,0
2048,93.184.216.34,192.168.1.240,80,45598,0,0,6,72,2,0
2048,192.168.1.240,8.8.8.8,0,0,40405,53,17,94,2,0
2048,8.8.8.8,192.168.1.240,0,0,53,40405,17,138,2,0
2048,192.168.1.240,93.184.216.34,45599,80,0,0,6,96,4,0
2048,93.184.216.34,192.168.1.240,80,45599,0,0,6,72,2,0
2048,192.168.1.240,8.8.8.8,0,0,40689,53,17,94,2,0
2048,8.8.8.8,192.168.1.240,0,0,53,40689,17,138,2,0
2048,192.168.1.240,93.184.216.34,45600,80,0,0,6,96,4,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,45600,0,0,6,72,2,0
2048,192.168.1.177,192.168.1.1,0,0,41566,53,17,62,1,0
2048,192.168.1.1,192.168.1.177,0,0,53,41566,17,134,1,0
2048,192.168.1.177,192.168.1.1,0,0,33118,53,17,66,1,0
2048,192.168.1.1,192.168.1.177,0,0,53,33118,17,66,1,0
2048,192.168.1.177,192.168.1.1,0,0,39853,53,17,64,1,0
2048,192.168.1.1,192.168.1.177,0,0,53,39853,17,64,1,0
2048,192.168.1.177,192.168.1.1,0,0,40581,53,17,68,1,0
2048,192.168.1.1,192.168.1.177,0,0,53,40581,17,68,1,0
2048,192.168.1.177,192.168.1.1,0,0,57559,53,17,62,1,0
2048,192.168.1.1,192.168.1.177,0,0,53,57559,17,78,1,0
2048,192.168.1.177,176.31.232.79,59944,443,0,0,6,1037,13,0
2048,176.31.232.79,192.168.1.177,443,59944,0,0,6,5007,13,0
2048,176.31.232.79,192.168.1.177,443,59944,0,0,6,5007,13,0
2048,176.31.232.79,192.168.1.177,443,59944,0,0,6,5007,13,0
2048,176.31.232.79,192.168.1.177,443,59944,0,0,6,5007,13,0
2048,176.31.232.79,192.168.1.177,443,59944,0,0,6,5007,13,0
2048,176.31.232.79,192.168.1.177,443,59944,0,0,6,5007,13,0
2048,176.31.232.79,192.168.1.177,443,59944,0,0,6,5007,13,0
2048,192.168.1.240,97.107.128.58,0,0,46630,123,17,508,10,0
2048,97.107.128.58,192.168.1.240,0,0,123,46630,17,508,10,0
2048,192.168.1.193,192.168.1.249,4639,49152,0,0,6,802,15,0
2048,192.168.1.249,192.168.1.193,49152,4639,0,0,6,3754,15,0
2048,192.168.1.193,192.168.1.249,4640,49152,0,0,6,306,6,0
2048,192.168.1.249,192.168.1.193,49152,4640,0,0,6,1278,5,0
2048,192.168.1.240,192.168.1.1,0,0,52771,53,17,74,1,0
2048,192.168.1.1,192.168.1.240,0,0,53,52771,17,312,1,0
2048,192.168.1.240,54.239.26.180,42000,443,0,0,6,3056,16,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,54.239.26.180,192.168.1.240,443,42000,0,0,6,3284,11,0
2048,192.168.1.112,192.168.1.1,0,0,25587,53,17,5824,161,0
2048,192.168.1.1,192.168.1.112,0,0,53,25587,17,44044,147,1
2048,192.168.1.112,62.210.92.227,26156,25050,0,0,6,475,9,0
2048,62.210.92.227,192.168.1.112,25050,26156,0,0,6,128,9,0
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.112,192.168.1.1,0,0,68,67,17,38836,126,1
2048,192.168.1.143,52.76.51.215,0,0,17898,3478,17,420,14,0
2048,192.168.1.143,52.76.51.215,0,0,17899,3478,17,6300,224,0
2048,52.76.51.215,192.168.1.143,0,0,3478,17898,17,980,14,0
2048,192.168.1.143,52.74.225.231,0,0,17898,3478,17,420,14,0
2048,192.168.1.143,149.171.37.162,0,0,17898,17898,17,2772,98,0
2048,192.168.1.143,149.171.37.162,0,0,17898,17898,17,2772,98,0
2048,192.168.1.143,149.171.37.162,0,0,17898,17898,17,2772,98,0
2048,192.168.1.143,149.171.37.162,0,0,17898,17898,17,2772,98,0
2048,52.74.225.231,192.168.1.143,0,0,3478,17898,17,980,14,0
2048,52.74.225.231,192.168.1.143,0,0,3478,17898,17,980,14,0
2048,52.74.225.231,192.168.1.143,0,0,3478,17898,17,980,14,0
2048,52.74.225.231,192.168.1.143,0,0,3478,17898,17,980,14,0
2048,52.74.225.231,192.168.1.143,0,0,3478,17898,17,980,14,0
2048,52.74.225.231,192.168.1.143,0,0,3478,17898,17,980,14,0
2048,52.74.225.231,192.168.1.143,0,0,3478,17898,17,980,14,0
2048,192.168.1.143,52.76.51.215,0,0,17898,8089,17,210,14,0
2048,192.168.1.193,192.168.1.249,3664,49152,0,0,6,326,7,0
2048,192.168.1.193,192.168.1.249,3665,49152,0,0,6,306,6,0
2048,192.168.1.249,192.168.1.193,49152,3665,0,0,6,1278,5,0
2048,192.168.1.249,192.168.1.193,49152,3664,0,0,6,1278,5,0
2048,192.168.1.166,192.168.1.1,0,0,38197,53,17,65,1,0
2048,192.168.1.1,192.168.1.166,0,0,53,38197,17,270,1,0
2048,192.168.1.166,89.30.121.150,53481,80,0,0,6,1990,8,0
2048,192.168.1.166,89.30.121.150,53481,80,0,0,6,1990,8,0
2048,192.168.1.166,89.30.121.150,53481,80,0,0,6,1990,8,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,89.30.121.150,192.168.1.166,80,53481,0,0,6,398,5,0
2048,192.168.1.240,173.71.69.90,0,0,34289,123,17,124,2,0
2048,192.168.1.240,173.71.69.90,0,0,34289,123,17,124,2,0
2048,192.168.1.240,173.71.69.90,0,0,34289,123,17,124,2,0
2048,192.168.1.240,173.71.69.90,0,0,34289,123,17,124,2,0
2048,192.168.1.240,173.71.69.90,0,0,34289,123,17,124,2,0
2048,192.168.1.240,173.71.69.90,0,0,34289,123,17,124,2,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,173.71.69.90,192.168.1.240,0,0,123,34289,17,76,1,0
2048,192.168.1.240,8.8.8.8,0,0,40335,53,17,94,2,0
2048,8.8.8.8,192.168.1.240,0,0,53,40335,17,138,2,0
2048,192.168.1.240,93.184.216.34,40812,80,0,0,6,96,4,0
2048,93.184.216.34,192.168.1.240,80,40812,0,0,6,72,2,0
2048,192.168.1.240,8.8.8.8,0,0,54408,53,17,94,2,0
2048,8.8.8.8,192.168.1.240,0,0,53,54408,17,138,2,0
2048,192.168.1.240,93.184.216.34,40813,80,0,0,6,96,4,0
2048,93.184.216.34,192.168.1.240,80,40813,0,0,6,72,2,0
2048,192.168.1.240,8.8.8.8,0,0,59673,53,17,94,2,0
2048,8.8.8.8,192.168.1.240,0,0,53,59673,17,138,2,0
2048,192.168.1.240,93.184.216.34,40814,80,0,0,6,96,4,0
2048,93.184.216.34,192.168.1.240,80,40814,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,40814,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,40814,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,40814,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,40814,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,40814,0,0,6,72,2,0
2048,93.184.216.34,192.168.1.240,80,40814,0,0,6,72,2,0
